"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Alex Caruso",3000,"GS@LAL 11/29/2017 10:30PM ET",4.75,"LAL","GS",0,0,0
"PF/C","Thomas Bryant",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"LAL","GS",0,0,0
"SG/SF","Kyle Singler",3000,"OKC@ORL 11/29/2017 07:00PM ET",2,"OKC","ORL",0,0,0
"SG/SF","Arron Afflalo",3000,"OKC@ORL 11/29/2017 07:00PM ET",5.3,"ORL","OKC",1.73,0,2.75
"PG/SF","Mario Hezonja",3000,"OKC@ORL 11/29/2017 07:00PM ET",6.938,"ORL","OKC",0,0,4
"PF/C","Nick Collison",3000,"OKC@ORL 11/29/2017 07:00PM ET",4.625,"OKC","ORL",0,0,0
"SG/SF","Jamel Artis",3000,"OKC@ORL 11/29/2017 07:00PM ET",0,"ORL","OKC",0,0,0
"PF","Adreian Payne",3000,"OKC@ORL 11/29/2017 07:00PM ET",0,"ORL","OKC",0,0,0
"PF/C","Khem Birch",3000,"OKC@ORL 11/29/2017 07:00PM ET",3,"ORL","OKC",0,0,0
"SG/SF","Wes Iwundu",3000,"OKC@ORL 11/29/2017 07:00PM ET",4.05,"ORL","OKC",0,0,0
"SF/PF","Josh Huestis",3000,"OKC@ORL 11/29/2017 07:00PM ET",6.531,"OKC","ORL",7.6,7.5,0
"SG/SF","Terrance Ferguson",3000,"OKC@ORL 11/29/2017 07:00PM ET",2.063,"OKC","ORL",3.55,0,0
"SF","Daniel Hamilton",3000,"OKC@ORL 11/29/2017 07:00PM ET",0,"OKC","ORL",0,0,0
"PG/SG","PJ Dozier",3000,"OKC@ORL 11/29/2017 07:00PM ET",0,"OKC","ORL",0,0,0
"SG/SF","Rodney McGruder",3000,"MIA@NY 11/29/2017 07:30PM ET",0,"MIA","NY",0,0,0
"SF/PF","Okaro White",3000,"MIA@NY 11/29/2017 07:30PM ET",8.45,"MIA","NY",0,0,0
"PF/C","Udonis Haslem",3000,"MIA@NY 11/29/2017 07:30PM ET",2,"MIA","NY",0,0,0
"C","AJ Hammons",3000,"MIA@NY 11/29/2017 07:30PM ET",0,"MIA","NY",0,0,0
"PG/SG","Derrick Walton",3000,"MIA@NY 11/29/2017 07:30PM ET",0.813,"MIA","NY",0,0,0
"PF/C","Jordan Mickey",3000,"MIA@NY 11/29/2017 07:30PM ET",11.083,"MIA","NY",0,0,4.5
"SG","Matt Williams",3000,"MIA@NY 11/29/2017 07:30PM ET",0,"MIA","NY",0,0,0
"PG/SG","Ron Baker",3000,"MIA@NY 11/29/2017 07:30PM ET",9,"NY","MIA",0,0,0
"PF","Isaiah Hicks",3000,"MIA@NY 11/29/2017 07:30PM ET",0,"NY","MIA",0,0,0
"PF","Luke Kornet",3000,"MIA@NY 11/29/2017 07:30PM ET",0,"NY","MIA",0,0,0
"SF/PF","TJ Leaf",3000,"IND@HOU 11/29/2017 08:00PM ET",7.838,"IND","HOU",0,0,0
"PF/C","Ike Anigbogu",3000,"IND@HOU 11/29/2017 08:00PM ET",2,"IND","HOU",0,0,0
"PG/SG","Joe Young",3000,"IND@HOU 11/29/2017 08:00PM ET",4.75,"IND","HOU",0,0,0
"SG/SF","Damien Wilkins",3000,"IND@HOU 11/29/2017 08:00PM ET",3.477,"IND","HOU",0,0,0
"PF/C","Chinanu Onuaku",3000,"IND@HOU 11/29/2017 08:00PM ET",0,"HOU","IND",0,0,0
"SF","Alex Poythress",3000,"IND@HOU 11/29/2017 08:00PM ET",1.917,"IND","HOU",0,0,0
"SG","Troy Williams",3000,"IND@HOU 11/29/2017 08:00PM ET",3.25,"HOU","IND",0,0,0
"PG","Demetrius Jackson",3000,"IND@HOU 11/29/2017 08:00PM ET",3.114,"HOU","IND",0,0,0
"PF/C","Zhou Qi",3000,"IND@HOU 11/29/2017 08:00PM ET",4.114,"HOU","IND",0,0,0
"PG","Briante Weber",3000,"IND@HOU 11/29/2017 08:00PM ET",0.5,"HOU","IND",0,0,4.5
"PG","Edmond Sumner",3000,"IND@HOU 11/29/2017 08:00PM ET",0,"IND","HOU",0,0,0
"PF/C","Josh McRoberts",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"DAL","BKN",0,0,0
"SF","Dorian Finney-Smith",3000,"BKN@DAL 11/29/2017 08:30PM ET",5.875,"DAL","BKN",0,0,0
"PF/C","Johnathan Motley",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"DAL","BKN",0,0,0
"C","Jeff Withey",3000,"BKN@DAL 11/29/2017 08:30PM ET",3.464,"DAL","BKN",0,0,0
"SG","Antonius Cleveland",3000,"BKN@DAL 11/29/2017 08:30PM ET",2.625,"DAL","BKN",0,0,0
"PG/SG","Jeremy Lin",3000,"BKN@DAL 11/29/2017 08:30PM ET",23,"BKN","DAL",0,0,0
"PG","Jacob Wiley",3000,"BKN@DAL 11/29/2017 08:30PM ET",5.813,"BKN","DAL",0,0,0
"SG","Yakuba Ouattara",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"BKN","DAL",0,0,0
"SG","Sheldon Mac",3000,"WAS@PHI 11/29/2017 07:00PM ET",0,"WAS","PHI",0,0,0
"PF/C","Chris McCullough",3000,"WAS@PHI 11/29/2017 07:00PM ET",6.417,"WAS","PHI",0,0,12.5
"PF","Mike Young",3000,"WAS@PHI 11/29/2017 07:00PM ET",0,"WAS","PHI",0,0,0
